,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
0,11031852,979.7744918,1082.634792,396650,140096,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10599,HPS-High Pressure Sodium,30 ft,10599,400,6.4902453,93.82894,5.0911684,2007-06-21 00:00:00+00:00,21,6,2007
2,11084762,395.3053506,515.6615,396449,139700,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10686,HPS-High Pressure Sodium,30 ft,10686,400,5.5602455,94.83262,4.32,2007-06-21 00:00:00+00:00,21,6,2007
5,11086902,0,92.17389639,397112,140598,2007/06/18 00:00:00+00,Regular Alley,Active,2,13903,HPS-High Pressure Sodium,28 ft,13903,150,3.8802452,96.16575,3.671294,2007-06-18 00:00:00+00:00,18,6,2007
6,11082032,291.747936,392.2428,396777,140902,2007/06/19 00:00:00+00,Regular Alley,Active,2,14513,HPS-High Pressure Sodium,28 ft,14513,400,3.6502452,96.980194,4.3498964,2007-06-19 00:00:00+00:00,19,6,2007
7,11086902,92.17389639,216.710551,396484,140445,2007/06/20 00:00:00+00,Regular Alley,Active,2,10312,HPS-High Pressure Sodium,28 ft,10312,70,3.1102452,97.79321,5.1919937,2007-06-20 00:00:00+00:00,20,6,2007
8,11031852,425.2594449,737.3510207,396146,140795,2007/06/19 00:00:00+00,Regular Alley,Active,2,10027,HPS-High Pressure Sodium,28 ft,10027,70,2.7302456,98.201126,5.3999996,2007-06-19 00:00:00+00:00,19,6,2007
9,11074882,0,117.3383,396386,139587,2007/06/21 00:00:00+00,Regular Alley,Active,2,10702,HPS-High Pressure Sodium,28 ft,10702,70,2.5102453,98.19411,5.3517847,2007-06-21 00:00:00+00:00,21,6,2007
10,11082032,194.8238019,291.747936,396194,139772,2007/06/22 00:00:00+00,Simple Pendant,Active,1,10783,HPS-High Pressure Sodium,30 ft,10783,400,2.4402454,97.83999,5.495161,2007-06-22 00:00:00+00:00,22,6,2007
11,11084302,0,294.5538098,396671,139916,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10653,HPS-High Pressure Sodium,30 ft,10653,400,4.2502456,95.36762,6.638072,2007-06-21 00:00:00+00:00,21,6,2007
12,11084762,85.80708705,190.1442112,396828,139664,2007/06/25 00:00:00+00,Decorated Wrap,Active,1,11013,LED-Light Emitting Diode,30 ft,11013,200,6.5302453,92.20724,5.8048253,2007-06-25 00:00:00+00:00,25,6,2007
13,11074942,0,107.7588119,395980,138765,2007/06/27 00:00:00+00,Simple Pendant,Active,1,14560,HPS-High Pressure Sodium,30 ft,14560,400,8.290245,88.76688,6.439876,2007-06-27 00:00:00+00:00,27,6,2007
15,11001602,10277.8444,10287.26925,395980,140708,2007/06/19 00:00:00+00,Simple Pendant,Active,1,10014,HPS-High Pressure Sodium,30 ft,10014,150,11.3102455,79.97462,5.991594,2007-06-19 00:00:00+00:00,19,6,2007
17,11092432,974.2480708,996.635785,396135,139079,2007/06/28 00:00:00+00,Simple Pendant,Active,1,11118,HPS-High Pressure Sodium,30 ft,11118,400,10.530245,84.3071,6.28713,2007-06-28 00:00:00+00:00,28,6,2007
18,11065582,0,171.6227974,396619,139336,2007/06/23 00:00:00+00,Simple Pendant,Active,1,11485,HPS-High Pressure Sodium,30 ft,11485,400,7.3002453,93.68196,5.6920996,2007-06-23 00:00:00+00:00,23,6,2007
20,11031982,2589.662368,2768.832658,396068,140541,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10484,HPS-High Pressure Sodium,30 ft,10484,250,5.8002453,95.445526,5.937272,2007-06-21 00:00:00+00:00,21,6,2007
21,11092492,0,114.2345,396239,140563,2007/06/19 00:00:00+00,Regular Alley,Active,2,10455,HPS-High Pressure Sodium,28 ft,10455,250,5.170245,94.87827,5.315336,2007-06-19 00:00:00+00:00,19,6,2007
22,11092432,780.7679,974.2480708,396281,140064,2007/06/21 00:00:00+00,Regular Alley,Active,2,10533DC,LED-Light Emitting Diode,35 ft,10533DC,54,4.4902453,95.85379,5.495161,2007-06-21 00:00:00+00:00,21,6,2007
23,11082032,0,194.8238019,396756,140823,2007/06/19 00:00:00+00,Regular Alley,Active,2,10187DC,INC-Incandescent,35 ft,10187DC,189,3.9102454,95.96225,5.495161,2007-06-19 00:00:00+00:00,19,6,2007
24,11074942,107.7588119,287.7920649,397933,138893,2007/07/14 00:00:00+00,Simple Pendant,Active,1,14241,HPS-High Pressure Sodium,30 ft,14241,400,3.5702453,98.1573,6.193674,2007-07-14 00:00:00+00:00,14,7,2007
26,11072282,772.3447306,837.6055906,397664,139722,2007/07/14 00:00:00+00,Simple Pendant,Active,1,12475,HPS-High Pressure Sodium,30 ft,12475,400,2.8802452,97.087776,6.28713,2007-07-14 00:00:00+00:00,14,7,2007
28,11031982,2415.360458,2589.662368,395549,139825,2007/06/22 00:00:00+00,Regular Alley,Active,2,14533DC,INC-Incandescent,35 ft,14533DC,189,2.3602452,97.48621,6.379216,2007-06-22 00:00:00+00:00,22,6,2007
29,11071562,0,135.3142,396244,140373,2007/06/20 00:00:00+00,Regular Alley,Active,2,10374,HPS-High Pressure Sodium,28 ft,10374,70,2.3102455,96.64618,7.24486,2007-06-20 00:00:00+00:00,20,6,2007
30,11072282,685.8334215,772.3447306,396446,139773,2007/06/22 00:00:00+00,Regular Alley,Active,2,10757DC,HPS-High Pressure Sodium,35 ft,10757DC,100,2.3802454,96.09441,8.0899935,2007-06-22 00:00:00+00:00,22,6,2007
31,11083392,231.446642,437.4224,395514,139708,2007/06/22 00:00:00+00,Regular Alley,Active,2,10221DC,INC-Incandescent,35 ft,10221DC,189,2.4202454,95.54446,8.435069,2007-06-22 00:00:00+00:00,22,6,2007
32,11001602,10018.33216,10100.09694,396458,139626,2007/06/21 00:00:00+00,Regular Alley,Active,2,10699DC,HPS-High Pressure Sodium,35 ft,10699DC,70,2.5802455,95.07294,7.653705,2007-06-21 00:00:00+00:00,21,6,2007
33,11071562,135.3142592,464.1311927,396883,139833,2007/06/25 00:00:00+00,Simple Pendant,Active,1,12260,HPS-High Pressure Sodium,30 ft,12260,400,2.9402456,91.53713,7.10031,2007-06-25 00:00:00+00:00,25,6,2007
34,11072282,614.8343,685.8334215,396925,139686,2007/06/26 00:00:00+00,Simple Pendant,Active,1,12692,HPS-High Pressure Sodium,30 ft,12692,400,3.5602455,88.35643,6.9527545,2007-06-26 00:00:00+00:00,26,6,2007
36,11015792,0,108.7905926,396826,138990,2007/06/25 00:00:00+00,Simple Pendant,Active,1,11426,HPS-High Pressure Sodium,30 ft,11426,400,6.540245,81.80693,11.159999,2007-06-25 00:00:00+00:00,25,6,2007
44,11001602,9988.39988,10018.33216,397690,138570,2007/07/17 00:00:00+00,Simple Pendant,Active,1,13646,HPS-High Pressure Sodium,30 ft,13646,400,10.660245,68.37353,15.124284,2007-07-17 00:00:00+00:00,17,7,2007
45,11077282,609.7109871,667.0593,396982,140404,2007/06/18 00:00:00+00,Regular Alley,Active,2,13548,HPS-High Pressure Sodium,28 ft,13548,100,11.000245,68.68648,15.778516,2007-06-18 00:00:00+00:00,18,6,2007
46,11077282,511.3280293,609.7109871,396187,140653,2007/06/19 00:00:00+00,Regular Alley,Active,2,10082,HPS-High Pressure Sodium,28 ft,10082,70,11.720245,66.30155,15.1884165,2007-06-19 00:00:00+00:00,19,6,2007
